RelativePath,HasScaffold,HasListView,HasGridView,HasCarousel,HasLayoutBuilder,HasMediaQuery,HasElectricBorder,HasGlobalShell,HasFixedHeight,HasFixedWidth,MigrationStatus,LayoutSystem
lib\home_screen.dart,True,False,False,False,False,False,False,False,False,True,global-theme-and-shell-covered,ArcLayoutTokens/ArcPageViewport/AppTheme
lib\main.dart,True,False,False,False,False,False,False,True,False,False,global-theme-and-shell-covered,ArcLayoutTokens/ArcPageViewport/AppTheme
lib\reg\onboarding_basic_profile_screen.dart,True,False,False,False,True,True,True,False,True,True,global-theme-and-shell-covered,ArcLayoutTokens/ArcPageViewport/AppTheme
lib\screens\build\admin_console_screen.dart,True,True,False,False,False,False,False,False,False,True,global-theme-and-shell-covered,ArcLayoutTokens/ArcPageViewport/AppTheme
lib\screens\build\app_drawer.dart,False,True,False,False,False,True,False,False,False,False,global-theme-and-shell-covered,ArcLayoutTokens/ArcPageViewport/AppTheme
lib\screens\build\app_entry_gate.dart,True,False,False,False,False,False,False,False,False,False,global-theme-and-shell-covered,ArcLayoutTokens/ArcPageViewport/AppTheme
lib\screens\build\auth\auth_landing_screen.dart,True,False,False,True,True,False,False,False,False,True,global-theme-and-shell-covered,ArcLayoutTokens/ArcPageViewport/AppTheme
lib\screens\build\feedback_screen.dart,True,True,False,False,False,False,False,False,False,True,global-theme-and-shell-covered,ArcLayoutTokens/ArcPageViewport/AppTheme
lib\screens\build\splash_screen.dart,True,False,False,False,False,True,False,False,False,False,global-theme-and-shell-covered,ArcLayoutTokens/ArcPageViewport/AppTheme
lib\widgets\arc_responsive_page_shell.dart,False,False,False,False,False,False,False,False,False,False,global-theme-and-shell-covered,ArcLayoutTokens/ArcPageViewport/AppTheme
lib\widgets\responsive_layout_helper.dart,False,False,False,False,False,True,False,False,False,False,global-theme-and-shell-covered,ArcLayoutTokens/ArcPageViewport/AppTheme
lib\widgets\uag_page_carousel.dart,False,True,False,True,True,False,False,False,False,False,global-theme-and-shell-covered,ArcLayoutTokens/ArcPageViewport/AppTheme
